iter	Passed	Remaining
602	14484	9536
603	14502	9508
604	14522	9481
605	14540	9453
606	14562	9428
607	14580	9400
608	14599	9373
609	14617	9345
610	14636	9318
611	14655	9291
612	14673	9263
613	14692	9236
614	14711	9209
615	14731	9183
616	14752	9157
617	14776	9133
618	14797	9107
619	14815	9080
620	14833	9053
621	14853	9026
622	14873	9000
623	14903	8980
624	14922	8953
625	14940	8926
626	14959	8899
627	14977	8872
628	14996	8845
629	15014	8818
630	15032	8791
631	15051	8764
632	15070	8737
633	15089	8710
634	15108	8684
635	15132	8660
636	15150	8633
637	15170	8607
638	15196	8585
639	15244	8575
640	15289	8563
641	15326	8546
642	15365	8531
643	15405	8516
644	15445	8500
645	15483	8484
646	15528	8472
647	15579	8463
648	15628	8452
649	15675	8440
650	15717	8426
651	15764	8414
652	15810	8401
653	15852	8386
654	15892	8371
655	15936	8356
656	15982	8343
657	16024	8329
658	16074	8317
659	16129	8309
660	16177	8296
661	16225	8284
662	16289	8279
663	16341	8269
664	16392	8257
665	16436	8243
666	16482	8228
667	16525	8213
668	16560	8193
669	16590	8171
670	16621	8149
671	16662	8133
672	16690	8109
673	16724	8089
674	16763	8071
675	16797	8051
676	16821	8025
677	16847	8001
678	16882	7981
679	16904	7955
680	16926	7928
681	16948	7902
682	16969	7875
683	16990	7849
684	17013	7823
685	17038	7799
686	17062	7773
687	17088	7749
688	17114	7725
689	17142	7701
690	17162	7674
691	17189	7650
692	17211	7624
693	17235	7599
694	17262	7575
695	17284	7549
696	17308	7524
697	17330	7498
698	17361	7476
699	17388	7452
700	17418	7429
701	17443	7404
702	17477	7383
703	17505	7360
704	17535	7337
705	17565	7314
706	17587	7288
707	17607	7261
708	17625	7234
709	17644	7207
710	17663	7179
711	17675	7149
712	17701	7125
713	17726	7100
714	17766	7081
715	17791	7056
716	17816	7032
717	17849	7010
718	17878	6987
719	17900	6961
720	17920	6934
721	17938	6907
722	17957	6879
723	17978	6853
724	17997	6826
725	18016	6799
726	18035	6772
727	18054	6745
728	18073	6718
729	18092	6691
730	18110	6664
731	18133	6639
732	18151	6611
733	18170	6584
734	18189	6558
735	18209	6531
736	18228	6504
737	18247	6478
738	18267	6451
739	18285	6424
740	18304	6397
741	18323	6371
742	18343	6344
743	18362	6318
744	18382	6291
745	18400	6265
746	18419	6238
747	18438	6211
748	18456	6185
749	18475	6158
750	18494	6131
751	18512	6105
752	18530	6078
753	18549	6051
754	18567	6025
755	18589	5999
756	18607	5973
757	18626	5946
758	18644	5920
759	18662	5893
760	18685	5868
761	18707	5843
762	18726	5816
763	18745	5790
764	18764	5764
765	18782	5737
766	18802	5711
767	18821	5685
768	18856	5664
769	18880	5639
770	18898	5613
771	18917	5586
772	18935	5560
773	18953	5534
774	18972	5508
775	18991	5481
776	19009	5455
777	19028	5429
778	19047	5403
779	19065	5377
780	19084	5351
781	19102	5325
782	19125	5300
783	19145	5274
784	19165	5249
785	19183	5223
786	19203	5197
787	19221	5171
788	19242	5146
789	19261	5120
790	19280	5094
791	19298	5068
792	19317	5042
793	19336	5016
794	19355	4991
795	19374	4965
796	19392	4939
797	19410	4913
798	19429	4887
799	19448	4862
800	19474	4838
801	19492	4812
802	19512	4786
803	19530	4761
804	19549	4735
805	19567	4709
806	19586	4684
807	19607	4659
808	19646	4638
809	19686	4617
810	19723	4596
811	19756	4574
812	19780	4549
813	19807	4526
814	19851	4506
815	19887	4484
816	19929	4463
817	19953	4439
818	19984	4416
819	20023	4395
820	20061	4373
821	20091	4350
822	20137	4330
823	20162	4306
824	20213	4287
825	20246	4264
826	20280	4242
827	20311	4219
828	20348	4197
829	20372	4172
830	20405	4149
831	20437	4126
832	20476	4105
833	20515	4083
834	20552	4061
835	20600	4041
836	20625	4016
837	20652	3992
838	20675	3967
839	20696	3942
840	20719	3917
841	20741	3892
842	20760	3866
843	20781	3841
844	20809	3817
845	20852	3795
846	20888	3773
847	20910	3748
848	20934	3723
849	20956	3698
850	20981	3673
851	21003	3648
852	21026	3623
853	21049	3598
854	21073	3573
855	21096	3548
856	21131	3526
857	21158	3501
